,index,restaurant,type,name,description
39,39,McDonalds,Breakfast Sandwiches and Burritos,"Sausage, Egg & Cheese McGriddles Extra Value Meal [680.0 Cals]",
40,40,McDonalds,Breakfast Sandwiches and Burritos,Egg McMuffin Extra Value Meal [450.0 Cals],
41,41,McDonalds,Breakfast Sandwiches and Burritos,Chicken McGriddle Extra Value Meal [533.0 Cals],
42,42,McDonalds,Breakfast Sandwiches and Burritos,Bacon 'N Egg McMuffin Extra Value Meal [470.0 Cals],
43,43,McDonalds,Breakfast Sandwiches and Burritos,"Bacon, Egg & Cheese McGriddles Extra Value Meal [560.0 Cals]",
44,44,McDonalds,Breakfast Sandwiches and Burritos,Sausage McMuffin Extra Value Meal [530.0 Cals],
45,45,McDonalds,Breakfast Sandwiches and Burritos,2 Breakfast Burritos Extra Value Meal  [750.0 Cals],
46,46,McDonalds,Breakfast Sandwiches and Burritos,Everything Egg BLT Bagel Extra Value Meal [720-740 Cals],
47,47,McDonalds,Breakfast Sandwiches and Burritos,Egg BLT McMuffin Extra Value Meal [710-730 Cals],
48,48,McDonalds,Breakfast Sandwiches and Burritos,Sausage McGriddle Extra Value Meal [560.0 Cals],
49,49,McDonalds,Breakfast Sandwiches and Burritos,Plain Sausage 'N Egg Bagel Extra Value Meal [770-790 Cals],
50,50,McDonalds,Breakfast Sandwiches and Burritos,Everything Sausage 'N Egg Bagel Extra Value Meal [770-790 Cals],
51,51,McDonalds,Breakfast Sandwiches and Burritos,Plain Egg BLT Bagel Extra Value Meal [713.0 Cals],
52,52,McDonalds,Breakfast Sandwiches and Burritos,Plain Bacon 'N Egg Bagel Extra Value Meal [700-730 Cals],
53,53,McDonalds,Breakfast Sandwiches and Burritos,Sesame Sausage 'N Egg Bagel Extra Value Meal [770-790 Cals],
54,54,McDonalds,Breakfast Sandwiches and Burritos,Sesame Egg BLT Bagel Extra Value Meal [733.0 Cals],
55,55,McDonalds,Breakfast Sandwiches and Burritos,Sesame Bacon 'N Egg Bagel Extra Value Meal [700-730 Cals],
56,56,McDonalds,Breakfast Sandwiches and Burritos,Everything Bacon 'N Egg Bagel Extra Value Meal [700-730 Cals],
57,57,McDonalds,Breakfast Sandwiches and Burritos,Chicken BLT McMuffin Extra Value Meal [573.0 Cals],
58,58,McDonalds,Bundles and Sharing,Breakfast Bundle for 2 (Serves 2) [1170-1650 Cals],
59,59,McDonalds,Bundles and Sharing,Breakfast Bundle for 4 (Serves 4) [1810-2410 Cals],
60,60,McDonalds,Bakery,2 Baked Apple Pies [540.0 Cals],
61,61,McDonalds,Bakery,Banana Chocolate Chunk Muffin [430.0 Cals],
62,62,McDonalds,Bakery,Carrot Muffin [430.0 Cals],
63,63,McDonalds,Bakery,Blueberry Muffin [430.0 Cals],
64,64,McDonalds,Bakery,Baked Apple Pie [270.0 Cals],
65,65,McDonalds,Bakery,2 RMHC Cookies [300-320 Cals],
66,66,McDonalds,Bakery,Cranberry Orange Muffin [360.0 Cals],
67,67,McDonalds,Bakery,6 Baked Muffins Assorted,
68,68,McDonalds,Bakery,Plain Bagel with Regular Cream Cheese Product [370.0 Cals],
69,69,McDonalds,Bakery,Everything Bagel with Regular Cream Cheese Product [380.0 Cals],
70,70,McDonalds,Bakery,Brownie Cookie [140.0 Cals],
71,71,McDonalds,Bakery,6 RMHC Cookies [900-960 Cals],
72,72,McDonalds,Bakery,Pick Your Own 6 Baked Muffins [360-430 Cals],
73,73,McDonalds,Bakery,Chocolate Chunk Cookie [160.0 Cals],
74,74,McDonalds,Bakery,Fruit & Fibre Muffin [380.0 Cals],
75,75,McDonalds,Bakery,12 RMHC Cookies [1800-1920 Cals],
76,76,McDonalds,Bakery,Sesame Bagel [330.0 Cals],
77,77,McDonalds,Bakery,Plain Bagel [320.0 Cals],
78,78,McDonalds,Bakery,Muffin & Coffee Pairing [360-440 Cals],
79,79,McDonalds,Bakery,Sesame Bagel w/ Regular Cream Cheese Product [380.0 Cals],
80,80,McDonalds,Bakery,Everything Bagel [330.0 Cals],
81,81,McDonalds,Hot Drinks,Med Premium Roast Coffee [4.0 Cals],
82,82,McDonalds,Hot Drinks,Med Earl Grey Tea [0.0 Cals],
83,83,McDonalds,Hot Drinks,Med Orange Pekoe Tea [0.0 Cals],
84,84,McDonalds,Hot Drinks,Med Decaf Coffee [0.0 Cals],
85,85,McDonalds,Hot Drinks,Med Peppermint Tea [0.0 Cals],
86,86,McDonalds,Hot Drinks,Med Green Tea [0.0 Cals],
87,87,McDonalds,Snacks & Sides,Hash Brown [160.0 Cals],
88,88,McDonalds,Snacks & Sides,Everything Bagel with Regular Cream Cheese Product [380.0 Cals],
89,89,McDonalds,Snacks & Sides,Apple Slices [35.0 Cals],
90,90,McDonalds,Snacks & Sides,McGriddles [310-370 Cals],
91,91,McDonalds,Snacks & Sides,Sesame Bagel [330.0 Cals],
92,92,McDonalds,Snacks & Sides,Plain Bagel [320.0 Cals],
93,93,McDonalds,Snacks & Sides,Plain Bagel with Regular Cream Cheese Product [370.0 Cals],
94,94,McDonalds,Snacks & Sides,Sesame Bagel w/ Regular Cream Cheese Product [380.0 Cals],
95,95,McDonalds,Snacks & Sides,Everything Bagel [330.0 Cals],
96,96,McDonalds,Snacks & Sides,English Muffin [170-170 Cals],
97,97,McDonalds,Cold Drinks,Med Coca-Cola [190.0 Cals],
98,98,McDonalds,Cold Drinks,Med Orange Juice [180.0 Cals],
99,99,McDonalds,Cold Drinks,Med Apple Juice [160.0 Cals],
100,100,McDonalds,Cold Drinks,Med NESTEA Iced Tea [150.0 Cals],
101,101,McDonalds,Cold Drinks,Med Strawberry Banana Smoothie [250.0 Cals],
102,102,McDonalds,Cold Drinks,Med Diet Coke [1.0 Cals],
103,103,McDonalds,Cold Drinks,Med Coke Zero [1.0 Cals],
104,104,McDonalds,Cold Drinks,Med Mango Pineapple Real Fruit Smoothie [250.0 Cals],
105,105,McDonalds,Cold Drinks,Med Fruitopia Orange [170.0 Cals],
106,106,McDonalds,Cold Drinks,Med Iced Coffee [170.0 Cals],
107,107,McDonalds,Cold Drinks,Med Sprite [190.0 Cals],
108,108,McDonalds,Cold Drinks,Med Fruitopia Strawberry [170.0 Cals],
109,109,McDonalds,Cold Drinks,Med Caramel Iced Coffee [130.0 Cals],
110,110,McDonalds,Cold Drinks,Med Vanilla Iced Coffee [150.0 Cals],
111,111,McDonalds,Cold Drinks,Med Coffee Frappé [520.0 Cals],
112,112,McDonalds,Cold Drinks,Dasani Water [0.0 Cals],
113,113,McDonalds,Cold Drinks,Med Vanilla Chai Frappé [580.0 Cals],
114,114,McDonalds,Cold Drinks,Med Blueberry Pomegranate Real Fruit Smoothie [320.0 Cals],
115,115,McDonalds,Cold Drinks,1% Milk Bottle [110.0 Cals],
116,116,McDonalds,Cold Drinks, Med VanChai Frappé w/ Whipped Cream & Choc Drizzle [650.0 Cals],
117,117,McDonalds,Cold Drinks,Med Barq's Root Beer [210.0 Cals],
118,118,McDonalds,Cold Drinks,Med Coffee Frappé w/ Whipped Cream & Choc Drizzle [590.0 Cals],
119,119,McDonalds,Cold Drinks,Chocolate Milk Bottle [170.0 Cals],
120,120,McDonalds,Cold Drinks,Med Iced Coffee with sugar free syrup [100.0 Cals],
121,121,McDonalds,Cold Drinks,Med Lemon Fruit Splash [90.0 Cals],
122,122,McDonalds,Cold Drinks,Med Strawberry Passionfruit Fruit Splash [160.0 Cals],
123,123,McDonalds,Cold Drinks,Med Peach Mango Fruit Splash [160.0 Cals],
124,124,McDonalds,Cold Drinks,Medium Kiwi Pineapple Banana Smoothie [350.0 Cals],
125,125,McDonalds,Condiments,Ketchup Packet [10.0 Cals],Limit of 5
126,126,McDonalds,Condiments,Mayo-Style Sauce Packet [100.0 Cals],
127,127,McDonalds,Condiments,Salt [0.0 Cals],Limit of 3
128,128,McDonalds,Condiments,Utensils,
129,129,McDonalds,Condiments,Butter Packet [35.0 Cals],Limit of 2
130,130,McDonalds,Condiments,Pepper Packet [0.0 Cals],Limit of 3
131,131,McDonalds,Condiments,Milk Packet [5.0 Cals],Limit of 3
132,132,McDonalds,Condiments,Flexible Straw,
133,133,McDonalds,Condiments,Straw,
134,134,McDonalds,Condiments,Peanut Butter [110.0 Cals],Limit of 2
135,135,McDonalds,Condiments,Strawberry Jam [50.0 Cals],Limit of 2
136,136,McDonalds,Condiments,No Utensils,
137,137,McDonalds,Condiments,Cream Packet [15.0 Cals],Limit of 3
138,138,McDonalds,Condiments,Sugar Packet [15.0 Cals],Limit of 3
139,139,McDonalds,Condiments,Regular Cream Cheese [110.0 Cals],
140,140,McDonalds,Condiments,Splenda Packet [0.0 Cals],Limit of 3
141,141,McDonalds,Happy Meals,Happy Meal Hotcakes with Hash Browns [740-850 Cals],
142,142,McDonalds,Happy Meals,Happy Meal Hotcakes with Apple Slices [610-720 Cals],
143,143,McDonalds,Individual Items,Chicken McMuffin [360.0 Cals],
144,144,McDonalds,Individual Items,Egg McMuffin [290.0 Cals],
145,145,McDonalds,Individual Items,Sausage McMuffin [370.0 Cals],
146,146,McDonalds,Individual Items,Sausage 'N Egg McMuffin [430.0 Cals],
147,147,McDonalds,Individual Items,"Sausage, Egg & Cheese McGriddles [520.0 Cals]",
148,148,McDonalds,Individual Items,"Bacon, Egg & Cheese McGriddles [400.0 Cals]",
149,149,McDonalds,Individual Items,Hotcakes [350.0 Cals],
150,150,McDonalds,Individual Items,Bacon 'N Egg McMuffin [310.0 Cals],
151,151,McDonalds,Individual Items,2 Breakfast Burritos [580.0 Cals],
152,152,McDonalds,Individual Items,Chicken McGriddles [370.0 Cals],
153,153,McDonalds,Individual Items,Breakfast Burrito [290.0 Cals],
154,154,McDonalds,Individual Items,Everything Bagel with Regular Cream Cheese Product [380.0 Cals],
155,155,McDonalds,Individual Items,Hotcakes & Bacon [670.0 Cals],
156,156,McDonalds,Individual Items,Plain Egg BLT Bagel [550.0 Cals],
157,157,McDonalds,Individual Items,Plain Bagel with Regular Cream Cheese Product [370.0 Cals],
158,158,McDonalds,Individual Items,Hotcakes & Sausage [760.0 Cals],
159,159,McDonalds,Individual Items,Plain Bagel [320.0 Cals],
160,160,McDonalds,Individual Items,Sausage McGriddles [400.0 Cals],
161,161,McDonalds,Individual Items,Egg BLT McMuffin [360.0 Cals],
162,162,McDonalds,Individual Items,Sesame Egg BLT Bagel [570.0 Cals],
163,163,McDonalds,Individual Items,Everything Egg BLT Bagel [570.0 Cals],
164,164,McDonalds,Individual Items,Plain Sausage 'N Egg Bagel [600.0 Cals],
165,165,McDonalds,Individual Items,Sesame Bagel w/ Regular Cream Cheese Product [380.0 Cals],
166,166,McDonalds,Individual Items,Everything Sausage 'N Egg Bagel [610.0 Cals],
167,167,McDonalds,Individual Items,Sesame Bagel [330.0 Cals],
168,168,McDonalds,Individual Items,Everything Bacon 'N Egg Bagel [560.0 Cals],
169,169,McDonalds,Individual Items,Chicken BLT McMuffin [410.0 Cals],
170,170,McDonalds,Individual Items,Plain Bacon 'N Egg Bagel [530.0 Cals],
171,171,McDonalds,Individual Items,Sesame Bacon 'N Egg Bagel [550.0 Cals],
172,172,McDonalds,Individual Items,Sesame Sausage 'N Egg Bagel [620.0 Cals],
173,173,McDonalds,Individual Items,Everything Bagel [330.0 Cals],
174,174,McDonalds,Most Popular,Sausage 'N Egg McMuffin Extra Value Meal [590.0 Cals],
175,175,McDonalds,Most Popular,Bacon 'N Egg McMuffin Extra Value Meal [470.0 Cals],
176,176,McDonalds,Most Popular,"Sausage, Egg & Cheese McGriddles Extra Value Meal [680.0 Cals]",
177,177,McDonalds,Most Popular,Chicken McGriddle Extra Value Meal [533.0 Cals],
178,178,McDonalds,Most Popular,Chicken McMuffin Extra Value Meal [523.0 Cals],
179,179,McDonalds,Most Popular,Egg McMuffin Extra Value Meal [450.0 Cals],
180,180,McDonalds,Most Popular,"Bacon, Egg & Cheese McGriddles Extra Value Meal [560.0 Cals]",
181,181,KFC,Buckets,6 PIECE BUCKET AND 2 LARGE SIDES,6 pieces of our Canadian farm raised and hand-breaded Secret Recipe chicken with your choice of 2 large sides. (750-2070 Cals/Person)
182,182,KFC,Buckets,10 PIECE BUCKET AND 3 LARGE SIDES,10 pieces of our Canadian farm raised and hand-breaded Secret Recipe chicken with your choice of 3 large sides. (250-550 Cals/Person)
183,183,KFC,Buckets,14 PIECE BUCKET AND 4 LARGE SIDES,14 pieces of our Canadian farm raised and hand-breaded Secret Recipe chicken with your choice of 4 large sides. (540-1040 Cals/Person)
184,184,KFC,Buckets,18 PIECE BUCKET AND 5 LARGE SIDES,18 pieces of our Canadian farm raised and hand-breaded Secret Recipe chicken with your choice of 5 large sides. (480-970 Cals/Person)
185,185,KFC,Buckets,6 Tenders Bucket and 2 Large Sides,"6 original recipe tenders Bucket & 2 Large Sides, 2 dips (340-1650 Cals/Person)"
186,186,KFC,Buckets,10 Tender Bkt 3Lg Side NM,"10 original recipe tenders Bucket & 3 Large Sides, 3 dips (330-1010 Cals/Person)"
187,187,KFC,Buckets,14 TENDERS BUCKET AND 4 LARGE SIDES,"14 original recipe tenders bucket & 4 Large Sides, 4 dips (320-1140 Cals/Person)"
188,188,KFC,Buckets,18 TENDERS BUCKET AND 5 LARGE SIDES,"18 original recipe tenders bucket & 5 Large Sides, 6 dips (360-1070 Cals/Person)"
189,189,KFC,Buckets,6 PIECE BUCKET,6 pieces of our Canadian farm raised and hand-breaded Secret Recipe chicken. (540-720 Cals/Person)
190,190,KFC,Buckets,10 PIECE BUCKET,10 pieces of our Canadian farm raised and hand-breaded Secret Recipe chicken. (420-700 Cals/Person)
191,191,KFC,Buckets,14 PIECE BUCKET,14 pieces of our Canadian farm raised and hand-breaded Secret Recipe chicken. (430-600 Cals/Person)
192,192,KFC,Buckets,18 PIECE BUCKET,18 pieces of our Canadian farm raised and hand-breaded Secret Recipe chicken. (430-630 Cals/Person)
193,193,KFC,Buckets,6 ORIGINAL RECIPE TENDERS,"6 original recipe tenders ALC, 2 dips (660-760 Calories)"
194,194,KFC,Buckets,10 ORIGINAL RECIPE TENDERS,"10 Tenders ALC, 3 dips (1000 Calories)"
195,195,KFC,Buckets,14 ORIGINAL RECIPE TENDERS,"14 Tenders ALC, 4 dips (1400 Calories)"
196,196,KFC,Buckets,18 Original Recipe Tenders,"18 original recipe tenders ALC, 6 dips (1800 Calories)"
197,197,KFC,Big Box Meals,4p Chicken Box Meal,"4pc COB, Ind Popcorn, Ind Side, Ind Fries, regular(355ml  cans) Drink, 1 dip (1490-2350 Calories)"
198,198,KFC,Big Box Meals,3P Chicken Box Meal,"3pc COB, Ind Popcorn, Ind Side, Ind Fries, regular drink, 1 dip"
199,199,KFC,Big Box Meals,2P Chicken Box Meal,"2pc COB, Ind Popcorn, Ind Side, Ind Fries, regular drink, 1 dip"
200,200,KFC,Big Box Meals,4 Original Recipe Tenders Box Meal,"4 Tenders, Ind Popcorn, Ind Side, Ind Fries, regular drink, 2 Dip (700-1010 Calories)"
201,201,KFC,Big Box Meals,3 Original Recipe Tenders Box Meal,"3 Tenders, Ind Popcorn, Ind Side, Ind Fries, regular drink, 2 Dip (630-1350 Calories)"
202,202,KFC,Big Box Meals,2 Original Recipe Tenders Box Meal,"2 Tenders, Ind Popcorn, Ind Side, Ind Fries, regular drink, 1 Dip (500-810 Calories)"
203,203,KFC,Big Box Meals,KFC Famous Chicken Chicken Sandwich Box Meal,"Our Famous Chicken chicken sandwich filet, drizzled with buttery garlic oil, 3 sweet pickles, and double mayo. Served with individual popcorn, individual fries, individual salad, regular drink and 1 dip. (1400-1840 Calories)"
204,204,KFC,Big Box Meals,Zinger Sandwich Box Meal,"Zinger sandwich, Ind Popcorn, Ind Side, Ind Fries, regular drink, 1 dip (1160-1720 Calories)"
205,205,KFC,Big Box Meals,Big Crunch sandwich Box Meal,"Big Crunch sandwich, Ind Popcorn, Ind Side, Ind Fries, regular drink, 1 dip (1140-1700 Calories)"
206,206,KFC,Extra Crispy or Hot & Spicy,6 Piece Hot & Spicy Bucket ,6 pieces of our Canadian farm raised and hand-breaded Hot & Spicy chicken served with 2 large sides. (700-2190 Cals/Person)
207,207,KFC,Extra Crispy or Hot & Spicy,10 Piece Hot & Spicy Bucket ,10 pieces of our Canadian farm raised and hand-breaded Hot & Spicy chicken served with 3 large sides. (710-1740 Cals/Person)
208,208,KFC,Extra Crispy or Hot & Spicy,14 Piece Hot & Spicy Bucket ,14 pieces of our Canadian farm raised and hand-breaded Hot & Spicy chicken served with 4 large sides. (690-1560 Cals/Person)
209,209,KFC,Extra Crispy or Hot & Spicy,3 Piece Hot & Spicy Combo,3 pieces of our Canadian farm raised and hand-breaded Hot & Spicy chicken served with individual fries and a regular drink. (1180-1490 Calories )
210,210,KFC,Extra Crispy or Hot & Spicy,4 Piece Hot & Spicy Combo,4 pieces of our Canadian farm raised and hand-breaded Hot & Spicy chicken served with individual fries and a regular drink. (1350-1660 Calories )
211,211,KFC,Extra Crispy or Hot & Spicy,4 Piece Hot & Spicy Box Meal,"4 pieces of our Canadian farm raised and hand-breaded Hot & Spicy chicken served with individual fries, individual side and a regular drink. (1400-1960 Calories )"
212,212,KFC,Sandwich Combos,KFC FAMOUS CHICKEN CHICKEN SANDWICH COMBO,"Our Famous Chicken chicken sandwich fillet, drizzled with buttery garlic oil, 3 sweet pickles, and double mayo. Paired with individual fries and your choice of drink. (820-1130 Calories)"
213,213,KFC,Sandwich Combos,BIG CRUNCH SANDWICH COMBO,Our Big Crunch sandwich filled with crispy seasoned chicken breast and topped with lettuce and mayo. Paired with individual fries and your choice of drink. (820-1490 Calories)
214,214,KFC,Sandwich Combos,ZINGER SANDWICH COMBO,Our Zinger sandwich with spicy seasoned chicken breast topped with lettuce and spicy mayo for plenty of zing! Served with individual fries and your choice of drink. (870-1540 Calories)
215,215,KFC,Sandwich Combos,PLANT-BASED SANDWICH COMBO,"Our NEW crispy plant-based fillet, coated in KFC’s herbs and spices, sandwiched in a potato bun with lettuce and mayo (May be substituted with Pepper Mayo) paired with individual fries and a regular drink. (1000-1290 Cals/Person)"
216,216,KFC,Sandwich Combos,TWISTER COMBO,"Twister wrap filled with our Secret Recipe chicken, individual fries and your choice of drink. (830-1500 Calories)"
217,217,KFC,Sandwich Combos,ZINGER TWISTER COMBO,"Twister wrap filled with spicy Zinger chicken, individual fries and your choice of drink. (970-1640 Calories)"
218,218,KFC,Sandwich Combos,KFC FAMOUS CHICKEN CHICKEN SANDWICH,"Triple breaded, buttermilk marinated chicken fillet, drizzled with buttery garlic oil, 3 sweet pickles, double mayo on a potato bun. (520 Calories)"
219,219,KFC,Sandwich Combos,KFC SPICY FAMOUS CHICKEN CHICKEN SANDWICH,"Triple breaded, buttermilk marinated chicken fillet, drizzled with buttery garlic oil, 3 sweet pickles, double spicy mayo on a potato bun. (520 Calories)"
220,220,KFC,Sandwich Combos,BIG CRUNCH SANDWICH,"Our Big Crunch sandwich, filled with crispy seasoned chicken breast and topped with lettuce and mayo. (520 Calories)"
221,221,KFC,Sandwich Combos,SPICY BIG CRUNCH SANDWICH,"Our Big Crunch sandwich, filled with crispy seasoned chicken breast and topped with lettuce and spicy mayo. (540 Calories)"
222,222,KFC,Sandwich Combos,ZINGER SANDWICH,Spicy seasoned chicken breast topped with lettuce and spicy mayo. A sandwich with spicy zing! (570 Calories)
223,223,KFC,Sandwich Combos,PLANT-BASED SANDWICH,"Our NEW crispy plant-based fillet, coated in KFC’s herbs and spices, sandwiched in a potato bun with lettuce and mayo (May be substituted with Pepper Mayo). (700 Cals/Person)"
224,224,KFC,Sandwich Combos,TWISTER,"Our classic Twister wrap stuffed with 2 season chicken tenders, lettuce, tomatoes, and mayo. (530 Calories)"
225,225,KFC,Sandwich Combos,ZINGER TWISTER,"A spicy take on our Twister wrap stuffed with 2 Zinger chicken strips, lettuce, tomatoes, and spicy mayo. (580 Calories)"
226,226,KFC,Dipping Sauces,Sweet n Smokey BBQ, (45 Calories)
